frame,HEAD_x,HEAD_y,L_SHOULDER_x,L_SHOULDER_y,R_SHOULDER_x,R_SHOULDER_y,L_ELBOW_x,L_ELBOW_y,R_ELBOW_x,R_ELBOW_y,L_WRIST_x,L_WRIST_y,R_WRIST_x,R_WRIST_y,L_HIP_x,L_HIP_y,R_HIP_x,R_HIP_y,L_KNEE_x,L_KNEE_y,R_KNEE_x,R_KNEE_y,L_ANKLE_x,L_ANKLE_y,R_ANKLE_x,R_ANKLE_y,L_HEEL_x,L_HEEL_y,R_HEEL_x,R_HEEL_y,L_FOOT_INDEX_x,L_FOOT_INDEX_y,R_FOOT_INDEX_x,R_FOOT_INDEX_y,NECK_x,NECK_y
38,639,199,692,268,607,253,680,220,574,173,631,140,557,98,649,431,592,425,646,554,578,550,652,663,565,666,662,680,572,686,614,703,554,701,650,262
39,640,218,693,282,606,266,680,241,560,198,637,156,562,125,649,440,592,432,646,556,575,550,656,657,566,664,667,674,573,684,616,696,553,697,650,274
40,646,226,694,287,606,267,681,264,545,222,641,185,569,154,650,439,592,432,643,552,570,546,659,651,566,654,670,667,574,671,617,693,559,692,651,277
41,651,213,706,274,608,257,691,295,535,247,646,220,575,191,650,429,594,423,639,545,569,539,660,651,567,649,672,664,575,665,619,691,565,689,658,266
42,653,204,712,266,609,251,697,319,537,277,648,254,580,222,652,424,596,416,638,538,569,530,660,646,566,644,672,658,574,659,620,684,568,684,661,261
43,654,198,714,264,614,249,707,339,554,305,648,289,579,254,653,413,597,403,640,531,569,522,662,637,569,638,674,650,576,653,620,677,566,677,664,258
44,655,188,713,264,615,242,719,344,586,319,653,333,577,293,654,402,597,390,644,523,569,510,664,631,571,634,676,646,577,650,622,672,566,671,665,252
45,656,178,714,258,615,234,719,338,598,309,665,386,567,338,655,397,598,388,647,521,570,511,665,630,572,631,676,646,577,646,623,670,567,669,665,245
46,655,173,716,252,617,231,716,339,596,309,694,425,563,375,655,395,599,387,648,519,573,511,666,630,572,629,676,647,576,644,624,668,568,669,667,243
47,654,174,716,252,617,232,718,342,592,315,726,429,564,393,658,393,601,386,648,516,576,512,668,630,573,628,677,647,576,644,625,667,568,666,667,242
48,655,175,716,252,618,232,726,344,595,315,745,421,569,385,660,393,603,385,648,516,579,511,668,629,575,629,678,645,578,645,626,665,566,663,667,242
49,654,173,714,251,617,232,742,336,599,309,761,411,575,372,661,393,604,385,648,516,580,510,667,628,576,628,678,645,580,645,625,663,565,663,666,241
50,651,170,714,249,617,229,754,330,597,301,770,401,578,368,660,395,604,386,649,516,579,510,666,627,576,626,677,645,580,642,624,662,566,664,666,240
51,648,169,715,245,616,227,760,322,598,300,780,392,580,367,660,394,605,385,649,515,580,508,666,626,575,625,677,644,579,640,624,662,563,663,666,237
52,643,168,713,239,616,225,758,312,598,298,784,385,580,361,661,392,605,385,649,513,580,506,667,627,575,624,676,643,580,638,624,662,556,661,664,233
53,635,168,708,236,612,224,755,306,597,296,785,381,576,352,661,392,604,384,650,512,579,503,667,628,576,620,676,644,582,635,624,663,548,659,660,230
54,629,169,702,236,609,223,753,307,595,295,785,381,566,346,661,392,605,384,650,511,577,501,667,628,576,617,677,644,583,633,626,664,545,658,656,230
55,623,170,699,238,606,222,751,308,595,295,781,382,562,345,660,392,605,385,650,512,576,500,669,627,576,615,679,643,585,628,628,664,547,658,653,230
56,617,170,695,239,603,223,750,312,594,296,775,387,557,347,660,393,605,385,650,513,574,498,671,626,580,610,680,641,592,621,632,663,548,656,649,231
57,611,171,691,239,598,224,744,313,586,299,769,393,550,352,659,393,605,386,649,511,570,494,675,627,587,602,684,641,601,611,637,664,553,652,644,232
58,605,175,685,238,591,225,736,318,581,305,763,398,545,359,659,392,605,386,649,511,567,493,678,626,593,596,690,642,608,606,640,666,562,646,639,233
59,600,179,681,240,585,228,727,320,576,308,755,399,543,364,660,392,605,387,649,510,565,491,681,625,593,593,696,640,611,604,648,666,569,645,634,234
60,593,182,678,242,580,229,722,320,572,308,748,399,541,366,660,393,605,388,648,509,564,490,686,623,590,596,701,639,607,606,658,666,567,647,629,235
61,588,186,674,243,577,230,719,319,568,307,744,399,537,368,659,394,605,390,649,508,564,489,692,623,589,597,706,639,604,609,662,667,566,646,626,237
62,585,191,670,243,574,234,717,320,563,310,741,400,533,372,660,394,605,391,652,508,564,490,698,624,589,598,714,640,603,610,668,667,562,646,623,239
63,586,195,669,244,571,238,716,321,561,312,739,401,533,375,660,393,605,394,657,508,564,491,704,624,587,598,720,640,599,610,677,666,558,645,621,242
64,585,199,669,247,569,242,715,322,560,313,739,401,534,377,660,394,605,395,665,507,564,491,711,624,583,599,724,639,595,611,686,667,551,645,619,244
65,583,200,669,250,567,245,714,324,559,314,737,403,534,378,662,396,605,398,671,508,564,493,716,625,576,600,726,640,588,612,695,668,546,647,618,248
66,581,204,667,251,566,249,714,326,558,317,735,402,534,381,664,396,605,397,675,508,563,493,721,626,573,599,730,642,585,615,703,668,542,647,617,250
67,579,211,665,252,564,252,712,327,557,322,734,403,535,387,666,394,607,396,678,507,562,493,727,629,569,601,736,645,582,618,712,667,538,647,615,253
