frame,t_sec,x,y,detected
265,8.833,356,396,1
266,8.867,358,396,1
267,8.9,360,396,1
268,8.933,362,396,1
269,8.967,364,396,1
270,9.0,366,396,1
271,9.033,369,395,1
272,9.067,369,396,1
273,9.1,367,399,1
274,9.133,364,402,1
275,9.167,361,404,1
276,9.2,361,405,1
277,9.233,365,405,1
278,9.267,367,405,1
279,9.3,369,405,1
280,9.333,371,405,1
281,9.367,373,405,1
282,9.4,375,405,1
283,9.433,377,405,1
284,9.467,379,405,1
285,9.5,381,405,1
286,9.533,383,405,1
287,9.567,385,405,1
288,9.6,380,404,1
289,9.633,385,404,1
290,9.667,412,407,1
291,9.7,463,410,1
292,9.733,525,414,1
293,9.767,579,416,1
294,9.8,604,416,1
295,9.833,611,416,1
296,9.867,611,415,0
297,9.9,612,416,0
298,9.933,614,416,0
299,9.967,616,416,1
300,10.0,618,416,1
301,10.033,620,416,1
302,10.067,622,416,1
303,10.1,624,416,1
304,10.133,626,416,1
305,10.167,628,416,1
306,10.2,630,416,0
307,10.233,632,416,0
308,10.267,634,416,0
309,10.3,636,416,0
310,10.333,636,417,0
311,10.367,640,415,0
312,10.4,646,411,0
313,10.433,653,406,1
314,10.467,659,402,1
315,10.5,664,399,0
316,10.533,665,400,0
317,10.567,667,401,0
318,10.6,669,401,0
319,10.633,675,400,0
320,10.667,672,401,0
321,10.7,660,403,0
322,10.733,641,406,1
323,10.767,621,409,1
324,10.8,605,411,1
325,10.833,601,411,1
326,10.867,598,412,1
327,10.9,597,412,1
328,10.933,598,411,0
329,10.967,598,410,1
330,11.0,600,409,1
331,11.033,601,408,0
332,11.067,603,408,0
333,11.1,606,409,0
334,11.133,608,409,0
335,11.167,610,409,0
336,11.2,612,409,0
337,11.233,614,409,0
338,11.267,616,409,0
339,11.3,618,409,0
340,11.333,620,409,0
341,11.367,622,409,0
342,11.4,624,409,0
343,11.433,626,409,0
344,11.467,628,409,0
345,11.5,625,410,0
346,11.533,630,409,0
347,11.567,651,403,0
348,11.6,673,397,1
349,11.633,708,389,1
350,11.667,736,383,0
351,11.7,760,379,1
352,11.733,790,376,0
353,11.767,829,372,1
354,11.8,864,370,1
355,11.833,905,369,1
356,11.867,932,369,1
357,11.9,945,369,1
358,11.933,964,371,0
359,11.967,979,372,0
360,12.0,1004,376,1
361,12.033,1032,379,0
362,12.067,1060,385,1
363,12.1,1075,390,0
364,12.133,1084,392,1
365,12.167,1092,396,0
366,12.2,1136,416,0
367,12.233,1177,437,1
368,12.267,1193,454,1
369,12.3,1167,459,1
370,12.333,1123,451,1
371,12.367,1114,449,1
372,12.4,1155,461,1
373,12.433,1205,474,1
374,12.467,1231,480,1
375,12.5,1230,480,1
376,12.533,1227,479,0
377,12.567,1240,482,1
378,12.6,1255,486,1
379,12.633,1264,488,0
380,12.667,1265,488,1
381,12.7,1265,489,1
382,12.733,1266,490,1
383,12.767,1265,490,1
384,12.8,1265,490,1
385,12.833,1266,490,1
386,12.867,1267,489,0
387,12.9,1269,490,0
388,12.933,1272,490,0
389,12.967,1273,490,0
390,13.0,1273,490,0
391,13.033,1270,489,1
392,13.067,1267,488,1
393,13.1,1265,487,1
394,13.133,1265,486,1
395,13.167,1265,486,0
396,13.2,1265,487,1
397,13.233,1265,487,0
398,13.267,1265,487,1
399,13.3,1267,487,1
400,13.333,1268,487,1
401,13.367,1268,486,1
402,13.4,1267,485,1
403,13.433,1265,484,1
404,13.467,1263,482,1
405,13.5,1263,482,1
406,13.533,1264,481,1
407,13.567,1263,481,1
408,13.6,1263,481,1
409,13.633,1264,481,1
410,13.667,1265,482,1
411,13.7,1267,482,1
412,13.733,1270,482,1
413,13.767,1272,482,0
414,13.8,1274,482,0
415,13.833,1277,482,0
416,13.867,1278,482,0
417,13.9,1276,481,0
418,13.933,1272,481,1
419,13.967,1267,480,1
